date,MMM,ABT,ABBV,ACN,ATVI,ADBE,AMD,AAP,A,AKAM,ALK,ALB,ALXN,ALGN,ALL,GOOGL,GOOG,MO,AMZN,AAL,AXP,AIG,AMT,AMP,AMGN,APH,ADI,ANTM,APA,AAPL,AMAT,ANET,T,ADSK,ADP,AZO,BKR,BAC,BK,BBY,BIIB,BLK,BA,BKNG,BMY,AVGO,CPB,COF,KMX,CCL,CARR,CAT,CBOE,CF,SCHW,CVX,CMG,CI,CSCO,C,CFG,CLX,KO,CL,CMCSA,COP,STZ,GLW,COST,CSX,CVS,DHR,DRI,DE,DAL,DXCM,FANG,DFS,DG,DLTR,D,DPZ,DOW,DD,EMN,EBAY,EA,EOG,EL,ETSY,ES,RE,EXPE,XOM,FB,FAST,FDX,FE,FLT,FLIR,F,FOX,FCX,GPS,GRMN,IT,GD,GE,GIS,GM,GILD,GS,HAL,HAS,HCA,HPE,HLT,HD,HON,HPQ,HUM,INFO,ILMN,INCY,IR,INTC,IBM,IP,ISRG,J,JNJ,JPM,K,KEY,KEYS,KMB,KMI,KHC,KR,LB,LH,LRCX,LVS,LEN,LLY,LYV,LMT,L,LOW,MRO,MPC,MAR,MA,MCD,MCK,MDT,MRK,MGM,MU,MSFT,TAP,MNST,MCO,MS,NFLX,NWL,NEM,NEE,NKE,NOC,NCLH,NRG,NVDA,ORLY,OXY,ORCL,PYPL,PEP,PFE,PM,PSX,PPG,PG,PWR,QCOM,DGX,RL,RTX,O,REGN,ROP,ROST,RCL,CRM,SLB,STX,NOW,SPG,SNA,LUV,SBUX,SYF,SYY,TMUS,TTWO,TGT,TEL,TER,TXN,TMO,TIF,TJX,TT,TDG,TWTR,TSN,ULTA,UAA,UA,UAL,UNH,UPS,URI,VAR,VZ,VRTX,VIAC,VTRS,V,WMT,WBA,DIS,WM,WAT,WFC,WELL,WDC,WYNN,XEL,XLNX,YUM
2020-03-28,0,40,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,67,0,0,65,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,46,100,0,0,0,0,0,0,0,0
2020-03-29,0,40,90,0,0,0,28,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,56,20,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,29,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,53,77,0,0,0,100,0,0,0,0,92,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,79,0,0,0,0,0,86,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,44,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,85,49,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,89,71,0,0,0,0,0,0,79,0,0,0,89,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,89,0,0,0,0,0,0,50,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,26,0,0,0,0,32,0,64,44,49,0,0,0,0,43,0,0,41,0,0,85,0,0,51,0,0,83
2020-03-31,45,52,0,0,0,0,25,0,27,0,0,0,0,0,0,0,54,0,16,28,0,0,0,0,0,0,0,0,0,17,0,84,35,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,39,0,0,0,0,0,84,87,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,29,0,0,0,0,0,0,0,47,0,0,0,0,0,47,0,0,0,0,100,0,0,0,0,0,0,65,0,89,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,29,0,0,0,0,71,0,0,0,79,0,0,0,0,0,0,88,0,0,0,77,0,0,0,48,45,35,81,0,0,0,38,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,90,0,0,49,0,0,0,0,43,0,0,20,0,0,0,0,0,50,0,0,0
2020-04-01,0,35,0,0,0,0,25,0,27,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,35,0,0,34,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,80,0,0,0,0,0,0,0,82,50,31,0,0,79,0,0,84,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,47,66,46,0,0,0,19,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,79,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,100,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,87,92,0,0,0,0,0
2020-04-02,0,35,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,18,0,0,70,0,0,0,0,0,0,0,0,0,58,0,0,0,0,82,0,40,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,44,0,0,0,0,0,0,31,0,48,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,44,0,0,0,44,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,100,0,0,51,0,0,0,0,0,0,0,45,18,0,0,0,48,0,0,0,0,98,0,80,0,0,0,100,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,44,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,36,0,0,0,0,0,0,0,0,0,20,0,95,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,32,0,0,0,0,0,0,0,48,0,0,0,0,51,20,0,0,0,0,0,46,0,0,0,0,0,0,45,0,0,26,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,64,0,0,43,0,88,0,0,64,0,0,0,0,0,0,0,0,54,0,0,0,0,33,0,0,45,51,0,0,0,0,44,0,0,0,0,0,88,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,38,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0
2020-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,58,0,0,0,0,0,0,51,0,0,0,0,96,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,25,0,27,0,88,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,49,0,52,0,0,0,0,0,0,60,0,78,0,0,0,86,0,0,0,61,0,0,79,0,0,83,0,0,0,0,0,0,0,45,59,0,0,78,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,50,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,32,0,64,44,0,0,0,0,0,43,0,89,0,0,0,0,0,0,0,0,0,0
